TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Age Group,Price Level,Month,Dayname
T00001,C2824,Female,33,Bengaluru,Fashion,3,4479,2023-03-15,Cash,13437,Adult,Expensive,March,Wednesday
T00002,C1409,Other,20,Pune,Books,5,1051,2023-01-22,Card,5255,young Adult,Medium,January,Sunday
T00003,C5506,Other,47,Pune,Furniture,1,111,2023-04-18,Wallet,111,Senior,Low,April,Tuesday
T00004,C5012,Other,21,Hyderabad,Groceries,5,2946,2023-08-09,Cash,14730,young Adult,High,August,Wednesday
T00005,C4657,Female,41,Chennai,Sports,1,3123,2023-09-23,Wallet,3123,Senior,High,September,Saturday
T00006,C3286,Male,63,Delhi,Furniture,2,2758,2023-05-23,Card,5516,Senior,High,May,Tuesday
T00007,C2679,Other,30,Pune,Electronics,5,781,2023-10-22,Card,3905,Adult,Medium,October,Sunday
T00008,C9935,Female,35,Hyderabad,Books,5,4599,2023-11-12,Cash,22995,Adult,Expensive,November,Sunday
T00009,C2424,Female,41,Jaipur,Books,5,2263,2023-06-10,Cash,11315,Senior,High,June,Saturday
T00010,C7912,Male,70,Lucknow,Groceries,1,1194,2023-02-20,UPI,1194,Senior,Medium,February,Monday
T00011,C1520,Male,47,Chennai,Books,5,3445,2023-06-27,Card,17225,Senior,High,June,Tuesday
T00012,C1488,Female,50,Chennai,Sports,5,2515,2023-05-26,Cash,12575,Senior,High,May,Friday
T00013,C2535,Male,43,Jaipur,Groceries,2,2759,2023-03-26,Wallet,5518,Senior,High,March,Sunday
T00014,C4582,Other,58,Chennai,Furniture,4,569,2023-03-02,Cash,2276,Senior,Medium,March,Thursday
T00015,C4811,Female,25,Pune,Sports,5,185,2023-05-28,Cash,925,young Adult,Low,May,Sunday
T00016,C9279,Other,61,Hyderabad,Beauty,1,3012,2023-05-21,Wallet,3012,Senior,High,May,Sunday
T00017,C1434,Female,19,Delhi,Furniture,1,1896,2023-09-07,Wallet,1896,young Adult,High,September,Thursday
T00018,C4257,Other,33,Bengaluru,Fashion,5,2391,2023-08-13,Wallet,11955,Adult,High,August,Sunday
T00019,C9928,Male,41,Bengaluru,Electronics,2,1547,2023-04-25,Wallet,3094,Senior,High,April,Tuesday
T00020,C7873,Male,49,Chennai,Books,1,2197,2023-03-28,Card,2197,Senior,High,March,Tuesday
T00021,C4611,Other,56,Delhi,Electronics,3,228,2023-05-28,Cash,684,Senior,Low,May,Sunday
T00022,C8359,Female,46,Ahmedabad,Fashion,2,4502,2023-05-13,UPI,9004,Senior,Expensive,May,Saturday
T00023,C5557,Female,29,Lucknow,Groceries,2,4878,2023-11-07,Wallet,9756,Adult,Expensive,November,Tuesday
T00024,C1106,Other,48,Ahmedabad,Groceries,5,971,2023-02-24,Wallet,4855,Senior,Medium,February,Friday
T00025,C3615,Other,55,Chennai,Beauty,4,3229,2023-04-29,UPI,12916,Senior,High,April,Saturday
T00026,C7924,Male,53,Lucknow,Books,1,2208,2023-12-08,Card,2208,Senior,High,December,Friday
T00027,C6574,Male,40,Ahmedabad,Beauty,5,4612,2023-05-23,UPI,23060,Adult,Expensive,May,Tuesday
T00028,C5552,Other,40,Hyderabad,Furniture,5,1788,2023-03-14,UPI,8940,Adult,High,March,Tuesday
T00029,C3547,Other,28,Kolkata,Electronics,3,3722,2023-02-19,Cash,11166,Adult,High,February,Sunday
T00030,C4527,Female,34,Mumbai,Beauty,4,1907,2023-04-16,Wallet,7628,Adult,High,April,Sunday
T00031,C6514,Female,65,Bengaluru,Beauty,5,2756,2023-10-10,Wallet,13780,Senior,High,October,Tuesday
T00032,C2674,Other,62,Mumbai,Groceries,1,2301,2023-09-18,Card,2301,Senior,High,September,Monday
T00033,C2519,Female,23,Jaipur,Furniture,4,1770,2023-03-28,Card,7080,young Adult,High,March,Tuesday
T00034,C7224,Male,36,Mumbai,Fashion,1,4864,2023-01-15,Card,4864,Adult,Expensive,January,Sunday
T00035,C2584,Female,19,Bengaluru,Furniture,3,3339,2023-11-03,Card,10017,young Adult,High,November,Friday
T00036,C6881,Other,42,Delhi,Beauty,4,1375,2023-01-21,Card,5500,Senior,Medium,January,Saturday
T00037,C6635,Male,21,Chennai,Beauty,2,3754,2023-10-04,Card,7508,young Adult,Expensive,October,Wednesday
T00038,C5333,Male,28,Chennai,Fashion,4,1998,2023-10-03,Cash,7992,Adult,High,October,Tuesday
T00039,C1711,Male,54,Bengaluru,Electronics,1,3654,2023-04-10,Cash,3654,Senior,High,April,Monday
T00040,C8527,Female,67,Ahmedabad,Electronics,5,3119,2023-01-04,Wallet,15595,Senior,High,January,Wednesday
T00041,C9785,Female,31,Mumbai,Books,3,1315,2023-09-08,UPI,3945,Adult,Medium,September,Friday
T00042,C3045,Male,32,Hyderabad,Groceries,4,4024,2023-01-14,Cash,16096,Adult,Expensive,January,Saturday
T00043,C7201,Male,59,Delhi,Furniture,3,867,2023-07-09,Card,2601,Senior,Medium,July,Sunday
T00044,C2291,Female,32,Bengaluru,Electronics,1,4162,2023-04-15,Card,4162,Adult,Expensive,April,Saturday
T00045,C5803,Female,61,Mumbai,Sports,1,1586,2023-05-25,UPI,1586,Senior,High,May,Thursday
T00046,C6925,Male,31,Ahmedabad,Beauty,1,3863,2023-10-20,Card,3863,Adult,Expensive,October,Friday
T00047,C4150,Female,35,Hyderabad,Groceries,5,1615,2023-08-07,UPI,8075,Adult,High,August,Monday
T00048,C2139,Female,59,Kolkata,Sports,2,1542,2023-08-16,UPI,3084,Senior,High,August,Wednesday
T00049,C1750,Female,44,Pune,Furniture,3,1647,2023-09-24,Wallet,4941,Senior,High,September,Sunday
T00050,C4733,Female,50,Chennai,Sports,2,4766,2023-03-06,UPI,9532,Senior,Expensive,March,Monday
T00051,C5741,Other,19,Ahmedabad,Furniture,2,4118,2023-08-21,Card,8236,young Adult,Expensive,August,Monday
T00052,C2307,Other,67,Kolkata,Books,3,1577,2023-06-01,UPI,4731,Senior,High,June,Thursday
T00053,C4814,Other,67,Ahmedabad,Groceries,1,2410,2023-02-26,Wallet,2410,Senior,High,February,Sunday
T00054,C2654,Male,61,Mumbai,Beauty,2,272,2023-12-28,UPI,544,Senior,Medium,December,Thursday
T00055,C7227,Female,18,Kolkata,Beauty,3,2640,2023-03-03,Card,7920,young Adult,High,March,Friday
T00056,C5554,Other,48,Delhi,Furniture,4,1434,2023-08-16,Cash,5736,Senior,Medium,August,Wednesday
T00057,C8428,Female,26,Bengaluru,Beauty,2,1555,2023-08-10,Wallet,3110,Adult,High,August,Thursday
T00058,C6977,Other,59,Mumbai,Books,1,3329,2023-09-10,Cash,3329,Senior,High,September,Sunday
T00059,C3664,Male,29,Chennai,Electronics,5,1638,2023-05-15,Card,8190,Adult,High,May,Monday
T00060,C7065,Male,56,Pune,Groceries,3,668,2023-02-14,Card,2004,Senior,Medium,February,Tuesday
T00061,C6820,Other,69,Delhi,Sports,2,1275,2023-03-12,Cash,2550,Senior,Medium,March,Sunday
T00062,C4432,Male,18,Jaipur,Beauty,1,690,2023-05-23,Card,690,young Adult,Medium,May,Tuesday
T00063,C5374,Female,32,Ahmedabad,Sports,1,3593,2023-12-09,Cash,3593,Adult,High,December,Saturday
T00064,C2169,Female,34,Bengaluru,Electronics,3,2109,2023-03-01,Card,6327,Adult,High,March,Wednesday
T00065,C3803,Male,56,Hyderabad,Books,4,3827,2023-07-01,Card,15308,Senior,Expensive,July,Saturday
T00066,C9751,Female,69,Chennai,Groceries,1,3397,2023-02-10,Wallet,3397,Senior,High,February,Friday
T00067,C5010,Other,37,Pune,Fashion,3,921,2023-04-24,UPI,2763,Adult,Medium,April,Monday
T00068,C3677,Other,63,Mumbai,Sports,2,4415,2023-02-08,Cash,8830,Senior,Expensive,February,Wednesday
T00069,C8573,Other,63,Delhi,Electronics,4,1224,2023-06-17,Wallet,4896,Senior,Medium,June,Saturday
T00070,C7216,Female,59,Hyderabad,Fashion,3,196,2023-03-22,Wallet,588,Senior,Low,March,Wednesday
T00071,C5422,Other,35,Pune,Groceries,3,916,2023-09-17,UPI,2748,Adult,Medium,September,Sunday
T00072,C4598,Male,45,Ahmedabad,Furniture,4,3195,2023-06-21,Card,12780,Senior,High,June,Wednesday
T00073,C6313,Other,42,Hyderabad,Beauty,1,3245,2023-05-22,Wallet,3245,Senior,High,May,Monday
T00074,C1916,Female,40,Mumbai,Fashion,1,269,2023-08-21,Wallet,269,Adult,Medium,August,Monday
T00075,C4752,Female,47,Hyderabad,Groceries,2,1001,2023-11-19,Card,2002,Senior,Medium,November,Sunday
T00076,C1525,Other,34,Ahmedabad,Fashion,2,211,2023-09-20,Wallet,422,Adult,Low,September,Wednesday
T00077,C6168,Male,31,Delhi,Electronics,5,458,2023-12-11,UPI,2290,Adult,Medium,December,Monday
T00078,C7572,Male,47,Jaipur,Groceries,5,1182,2023-02-07,Wallet,5910,Senior,Medium,February,Tuesday
T00079,C5386,Male,37,Hyderabad,Groceries,2,2134,2023-12-28,Cash,4268,Adult,High,December,Thursday
T00080,C2084,Female,61,Ahmedabad,Furniture,4,784,2023-12-19,UPI,3136,Senior,Medium,December,Tuesday
T00081,C4456,Male,51,Pune,Beauty,5,2292,2023-06-11,UPI,11460,Senior,High,June,Sunday
T00082,C6155,Female,70,Chennai,Groceries,5,1268,2023-01-20,UPI,6340,Senior,Medium,January,Friday
T00083,C4483,Other,57,Kolkata,Electronics,4,210,2023-08-10,Card,840,Senior,Low,August,Thursday
T00084,C9179,Other,43,Bengaluru,Groceries,1,176,2023-02-21,UPI,176,Senior,Low,February,Tuesday
T00085,C7482,Female,55,Mumbai,Groceries,3,971,2023-12-28,UPI,2913,Senior,Medium,December,Thursday
T00086,C8517,Female,24,Jaipur,Sports,1,4543,2023-09-24,Wallet,4543,young Adult,Expensive,September,Sunday
T00087,C3340,Other,18,Jaipur,Beauty,3,2872,2023-06-12,Wallet,8616,young Adult,High,June,Monday
T00088,C5339,Other,50,Delhi,Electronics,4,796,2023-04-08,Cash,3184,Senior,Medium,April,Saturday
T00089,C3287,Female,60,Chennai,Sports,5,1757,2023-10-13,UPI,8785,Senior,High,October,Friday
T00090,C5040,Other,41,Ahmedabad,Fashion,4,1240,2023-12-05,UPI,4960,Senior,Medium,December,Tuesday
T00091,C9830,Other,53,Chennai,Books,1,4035,2023-11-17,Cash,4035,Senior,Expensive,November,Friday
T00092,C5304,Male,59,Hyderabad,Beauty,4,4710,2023-01-19,UPI,18840,Senior,Expensive,January,Thursday
T00093,C8019,Male,56,Kolkata,Fashion,1,3739,2023-11-21,Wallet,3739,Senior,High,November,Tuesday
T00094,C7543,Other,56,Mumbai,Books,4,1436,2023-11-18,Cash,5744,Senior,Medium,November,Saturday
T00095,C6930,Other,36,Hyderabad,Electronics,2,2618,2023-01-05,Card,5236,Adult,High,January,Thursday
T00096,C4593,Male,37,Delhi,Sports,1,2817,2023-05-06,Cash,2817,Adult,High,May,Saturday
T00097,C3266,Other,61,Hyderabad,Books,3,4023,2023-03-12,Card,12069,Senior,Expensive,March,Sunday
T00098,C9348,Female,24,Pune,Fashion,5,1365,2023-10-28,Wallet,6825,young Adult,Medium,October,Saturday
T00099,C9085,Other,48,Kolkata,Sports,5,2097,2023-07-12,Cash,10485,Senior,High,July,Wednesday
T00100,C2489,Other,22,Mumbai,Groceries,1,557,2023-04-23,Cash,557,young Adult,Medium,April,Sunday
T00101,C1771,Female,39,Bengaluru,Books,2,4552,2023-12-11,UPI,9104,Adult,Expensive,December,Monday
T00102,C2796,Male,35,Chennai,Groceries,5,2291,2023-04-11,Card,11455,Adult,High,April,Tuesday
T00103,C3504,Other,58,Lucknow,Books,2,4553,2023-05-16,UPI,9106,Senior,Expensive,May,Tuesday
T00104,C3621,Male,38,Delhi,Books,3,1108,2023-08-29,UPI,3324,Adult,Medium,August,Tuesday
T00105,C7916,Male,35,Pune,Beauty,5,273,2023-03-19,Wallet,1365,Adult,Medium,March,Sunday
T00106,C2040,Other,34,Hyderabad,Books,4,464,2023-09-06,Wallet,1856,Adult,Medium,September,Wednesday
T00107,C7304,Other,59,Mumbai,Groceries,4,942,2023-04-06,Cash,3768,Senior,Medium,April,Thursday
T00108,C7252,Male,63,Mumbai,Groceries,1,4561,2023-09-12,Card,4561,Senior,Expensive,September,Tuesday
T00109,C8668,Other,59,Lucknow,Beauty,5,2530,2023-05-25,Wallet,12650,Senior,High,May,Thursday
T00110,C9669,Other,37,Ahmedabad,Beauty,2,940,2023-03-09,Card,1880,Adult,Medium,March,Thursday
T00111,C5119,Male,30,Lucknow,Beauty,2,4290,2023-04-12,Card,8580,Adult,Expensive,April,Wednesday
T00112,C1188,Male,27,Bengaluru,Groceries,3,3502,2023-11-22,Card,10506,Adult,High,November,Wednesday
T00113,C2876,Female,51,Kolkata,Electronics,5,1261,2023-02-15,Cash,6305,Senior,Medium,February,Wednesday
T00114,C9797,Other,66,Delhi,Sports,2,109,2023-09-22,Card,218,Senior,Low,September,Friday
T00115,C5371,Female,33,Hyderabad,Sports,2,1937,2023-04-20,UPI,3874,Adult,High,April,Thursday
T00116,C6573,Male,21,Bengaluru,Groceries,5,296,2023-01-02,Card,1480,young Adult,Medium,January,Monday
T00117,C2827,Other,69,Ahmedabad,Books,4,1956,2023-08-11,Cash,7824,Senior,High,August,Friday
T00118,C5808,Male,69,Delhi,Fashion,5,3599,2023-02-04,UPI,17995,Senior,High,February,Saturday
T00119,C8123,Other,69,Lucknow,Electronics,4,3257,2023-09-09,Card,13028,Senior,High,September,Saturday
T00120,C3591,Other,56,Kolkata,Fashion,1,1307,2023-10-13,Card,1307,Senior,Medium,October,Friday
T00121,C8433,Female,43,Mumbai,Sports,1,2994,2023-11-09,UPI,2994,Senior,High,November,Thursday
T00122,C1053,Male,60,Mumbai,Groceries,4,2449,2023-04-17,Card,9796,Senior,High,April,Monday
T00123,C5315,Other,38,Kolkata,Groceries,5,1950,2023-12-30,Cash,9750,Adult,High,December,Saturday
T00124,C9201,Female,61,Bengaluru,Books,3,3251,2023-04-02,Card,9753,Senior,High,April,Sunday
T00125,C3927,Male,26,Jaipur,Furniture,2,1020,2023-01-20,Card,2040,Adult,Medium,January,Friday
T00126,C9317,Female,64,Delhi,Furniture,1,4128,2023-08-03,Card,4128,Senior,Expensive,August,Thursday
T00127,C2743,Male,19,Bengaluru,Groceries,1,1489,2023-12-19,Wallet,1489,young Adult,Medium,December,Tuesday
T00128,C5889,Other,59,Ahmedabad,Fashion,4,1002,2023-05-15,Card,4008,Senior,Medium,May,Monday
T00129,C9317,Female,49,Hyderabad,Electronics,3,1939,2023-11-11,UPI,5817,Senior,High,November,Saturday
T00130,C4258,Female,36,Kolkata,Fashion,5,933,2023-07-14,Cash,4665,Adult,Medium,July,Friday
T00131,C3504,Other,34,Jaipur,Fashion,3,2408,2023-11-20,Wallet,7224,Adult,High,November,Monday
T00132,C7126,Male,44,Kolkata,Sports,4,3027,2023-10-26,UPI,12108,Senior,High,October,Thursday
